Film_ID,Film_Title,Title_ID,Title_Name,Theatrical_Release_Date,Film_Runtime,Language,Market_Language,Release_Pattern,Performance_Type,Is_IMAX,Is_DBOX_Capable,Release_Status,Media_Class_Description,Is_4Dx,Genre_Hierarchy_1
0,<None>,0,<None>,1/1/1900,0,<None>,<None>,<None>,<None>,0,0,B,None,0,Unknown
32861,Sound Of Metal,35189,Sound Of Metal,11/20/2020,132,English,English,Ltd,Film Presentation,0,0,B,None,0,Unknown
32860,The Trial of the Chicago 7,35188,The Trial of the Chicago 7,10/2/2020,129,English,English,Ltd,FRCE Feature Release,0,0,B,None,0,Drama
32859,Half Brothers,35187,Half Brothers,12/4/2020,999,English,English,Ltd,Film Presentation,0,0,B,None,0,Comedy
32858,"Goodbye, America (Russian w/e.s.t.)",35186,"Goodbye, America (Russian w/e.s.t.)",10/15/2020,105,Russian,English,Ltd,Film Presentation,0,0,B,None,0,Comedy
32857,Mean Girls (version franaise),12699,Mean Girls,10/2/2020,97,French,French,Ltd,Film Presentation,0,0,B,Adult,0,Comedy
32856,Mean Girls,12699,Mean Girls,10/2/2020,97,English,English,Ltd,Film Presentation,0,0,B,Adult,0,Comedy
32855,Hocus Pocus,35185,Hocus Pocus,10/2/2020,96,English,English,Wide,Film Presentation,0,0,B,None,0,Comedy
32854,Lupin III: The First (Japanese w/e.s.t.) ,35184,Lupin III: The First,10/16/2020,95,Japanese,English,Ltd,Alt Prog Film Event,0,0,B,None,0,Animated
32853,Lupin III: The First,35184,Lupin III: The First,10/16/2020,95,English,English,Ltd,Film Presentation,0,0,B,None,0,Animated
32852,"Les choses qu'on dit, les choses qu'on fait",35183,"Les choses qu'on dit, les choses qu'on fait",10/2/2020,122,French,French,Ltd,Film Presentation,0,0,B,None,0,Drama
32851,"My People, My Homeland (Mandarin w/Chinese & English s.t.)",35182,"My People, My Homeland (Mandarin w/Chinese & English s.t.)",10/9/2020,153,Mandarin,English,Wide,Film Presentation,0,0,B,None,0,Unknown
32850,The Magic Flute (Mozart) Anglais avec s.-t.fr. REDIFFUSION ? Metropolitan Opera,15471,Met Opera - The Magic Flute,12/11/2020,125,English,French,Ltd,Opera,0,0,B,None,0,Musical
32849,The Magic Flute (Mozart) English w/e.s.t. ENCORE - Metropolitan Opera,15471,Met Opera - The Magic Flute,12/11/2020,125,English,English,Ltd,Opera,0,0,B,None,0,Musical
32848,Rigoletto (Verdi) Italien avec s.-t.fr. - REDIFFUSION - Metropolitan Opera ,18992,Rigoletto (Verdi) Italian w/e.s.t. ? Metropolitan Opera ,11/13/2020,150,Italian,French,Ltd,Opera,0,0,B,Family,0,Musical
32847,Rigoletto (Verdi) Italian w/e.s.t. ENCORE ? Metropolitan Opera,18992,Rigoletto (Verdi) Italian w/e.s.t. ? Metropolitan Opera ,11/13/2020,150,Italian,English,Ltd,Opera,0,0,B,Family,0,Musical
32846,Madama Butterfly (Puccini) Italien avec s.-t.fr. REDIFFUSION - Metropolitan Opera,21538,Madama Butterfly (Puccini) Italian w/ e.s.t. - Metropolitian Opera (2016),10/16/2020,162,Italian,French,Ltd,Opera,0,0,B,Adult,0,Musical
32845,Madama Butterfly (Puccini) Italian w/ e.s.t. ENCORE - Metropolitan Opera,21538,Madama Butterfly (Puccini) Italian w/ e.s.t. - Metropolitian Opera (2016),10/16/2020,162,Italian,English,Ltd,Opera,0,0,B,Adult,0,Musical
32844,The Great Outdoors,35181,The Great Outdoors,9/18/2020,91,English,English,Ltd,Film Presentation,0,0,B,None,0,Unknown
32843,The Father,35180,The Father,12/25/2020,97,English,English,Wide,Film Presentation,0,0,B,None,0,Drama
32842,French Exit,35179,French Exit,2/12/2021,999,English,English,Wide,Film Presentation,0,0,B,None,0,Unknown
32841,Jeu d'vasion 2,33532,Escape Room 2,12/30/2020,999,French,French,Wide,Film Presentation,0,0,B,None,0,Thriller
32840,Samaritan,35178,Samaritan,12/11/2020,999,English,English,Wide,Film Presentation,0,0,B,None,0,Drama
32839,Il tait une fois dans l'Est,35177,Il tait une fois dans l'Est,12/4/2020,999,English,English,Ltd,Film Presentation,0,0,B,None,0,Unknown
32838,Les Fils,35176,Les Fils,12/31/9999,999,French,French,Ltd,Film Presentation,0,0,B,None,0,Unknown
32837,La nuit venue,35175,La nuit venue,11/20/2020,95,French,French,Wide,Film Presentation,0,0,B,None,0,Drama
32836,Le meilleur pays du monde,35174,Le meilleur pays du monde,11/13/2020,110,French,French,Ltd,Film Presentation,0,0,B,None,0,Drama
32835,La relve,35173,La relve,10/30/2020,92,French,French,Ltd,Film Presentation,0,0,B,None,0,Drama
32834,Effacer l'historique,35172,Effacer l'historique,10/30/2020,106,French,French,Ltd,Film Presentation,0,0,B,None,0,Drama
32833,Mon anne Salinger,35171,My Salinger Year,10/23/2020,101,French,French,Wide,Film Presentation,0,0,B,Adult,0,Drama
32832,My Salinger Year,35171,My Salinger Year,10/23/2020,101,English,English,Wide,Film Presentation,0,0,B,Adult,0,Drama
32831,Le prix de la victoire (Arabe et Hbreu s.t.f.),35170,Le prix de la victoire (Arabe et Hbreu s.t.f.),10/23/2020,93,Arabic,French,Ltd,Film Presentation,0,0,B,None,0,Drama
32830,La contemplation du mystre ,35169,La contemplation du mystre ,10/16/2020,100,French,French,Ltd,Film Presentation,0,0,B,None,0,Drama
32829,Un honnte voleur,35153,Honest Thief,10/9/2020,99,French,French,Wide,Film Presentation,0,0,B,Adult,0,Action
32828,"2020 Stanley Cup? Final, Game 5: Dallas Stars @ Tampa Bay Lightning ? The IMAX Experience?",35168,"2020 Stanley Cup? Final, Game 5: Dallas Stars @ Tampa Bay Lightning ? The IMAX Experience?",9/26/2020,180,English,English,Ltd,Sporting Event,1,0,B,Adult,0,Unknown
32827,Akira - Special Presentation in 4K (Japanese w/e.s.t.),35152,Akira - Special Presentation in 4K (Japanese w/e.s.t.),9/18/2020,124,Japanese,English,Wide,Alt Prog Film Event,0,0,B,Adult,0,Adaptation
32826,Percy,35167,Percy,10/9/2020,99,English,English,Wide,Film Presentation,0,0,B,Adult,0,Drama
32825,De Gaulle (French w/e.s.t.),34828,De Gaulle (French w/e.s.t.),9/25/2020,109,French,English,Ltd,Film Presentation,0,0,B,Adult,0,Drama
32824,2 Hearts,35166,2 Hearts,10/16/2020,100,English,English,Ltd,Film Presentation,0,0,B,Adult,0,Drama
32823,100 % LOUP,35141,100% Wolf,10/9/2020,96,French,French,Wide,Film Presentation,0,0,B,Family,0,Animated
32822,Concerto A Beethoven Journey - Composer Series,35165,Concerto A Beethoven Journey - Composer Series,12/31/9999,93,English,English,Ltd,Alt Prog Film Event,0,0,B,None,0,Unknown
32821,Concerto A Beethoven Journey - Composer Series,35164,Concerto A Beethoven Journey - Composer Series,12/11/2020,93,English,English,Ltd,Concert,0,0,B,None,0,Unknown
32820,In Search of Haydn - Composer Series,35163,In Search of Haydn - Composer Series,11/27/2020,109,English,English,Ltd,Concert,0,0,B,None,0,Unknown
32819,In Search of Chopin - Composer Series,35162,In Search of Chopin - Composer Series,11/13/2020,115,English,English,Ltd,Concert,0,0,B,None,0,Unknown
32818,In Search of Mozart - Composer Series,35161,In Search of Mozart - Composer Series,10/9/2020,134,English,English,Ltd,Concert,0,0,B,None,0,Unknown
32817,In Search Of Beethoven - Composer Series,35160,In Search Of Beethoven - Composer Series,9/25/2020,145,English,English,Ltd,Concert,0,0,B,Adult,0,Unknown
32816,Serenity - Flashback Film Series,21929,Serenity - The Great Digital Film Festival 2016,10/2/2020,119,English,English,Ltd,Alt Prog Film Event,0,0,B,Adult,0,Action
32815,Body and Bones,35159,Body and Bones,10/16/2020,97,English,English,Ltd,Alt Prog Film Event,0,0,B,Adult,0,Unknown
