CINEPLEX_D_Membership_ID,Visit_Date_count,Visit_Date_min,Visit_Date_max,Visit_Date_Week_min,Visit_Date_Week_max,Visit_TimeSlice_ID_min,Visit_TimeSlice_ID_mean,Visit_TimeSlice_ID_mode,Visit_TimeSlice_ID_max,TimeSlice_ID_mean,TimeSlice_ID_max,TimeSlice_ID_mode,Location_ID_nunique,Location_ID_mode,City_nunique,City_mode,Auditorium_Experience_ID_nunique,Auditorium_Experience_ID_mode,Seating_Experience_ID_nunique,Seating_Experience_ID_mode,Sales_Channel_ID_nunique,Sales_Channel_ID_mode,Performance_Experience_ID_nunique,Performance_Experience_ID_mode,Performance_Type_ID_nunique,Performance_Type_ID_mode,Film_ID_nunique,Film_ID_mode,Film_Runtime_mean,Film_Runtime_max,Is_VIP_mean,Is_VIP_max,Language_mode,Genre_Hierarchy_1_nunique,Genre_Hierarchy_1_mode,Spend_min,Spend_mean,Spend_max,Spend_sum,Discount_mean,Has_US_Is_LrgPopcorn_sum,Has_US_Is_LrgPopcorn_mean,Has_US_Is_LrgPopcorn_max,Has_US_Is_Butter_sum,Has_US_Is_Butter_mean,Has_US_Is_Butter_max,Has_US_Is_Alcohol_sum,Has_US_Is_Alcohol_mean,Has_US_Is_Alcohol_max,Has_US_Is_Candy_sum,Has_US_Is_Candy_mean,Has_US_Is_Candy_max,Has_US_Is_Kiddietray_sum,Has_US_Is_Kiddietray_mean,Has_US_Is_Kiddietray_max,Has_US_Is_Voucher_sum,Has_US_Is_Voucher_mean,Has_US_Is_Voucher_max,Has_US_Is_MenuFood_sum,Has_US_Is_MenuFood_mean,Has_US_Is_MenuFood_max,Has_US_Is_Coffee_sum,Has_US_Is_Coffee_mean,Has_US_Is_Coffee_max,CINEPLEX_Item_ID_count,CINEPLEX_Item_ID_nunique,CINEPLEX_Item_ID_mode,CINEPLEX_Item_Description_mode,US_Is_LrgPopcorn_sum,US_Is_LrgPopcorn_mean,US_Is_Butter_sum,US_Is_Butter_mean,US_Is_Alcohol_sum,US_Is_Alcohol_mean,US_Is_Candy_sum,US_Is_Candy_mean,US_Is_Kiddietray_sum,US_Is_Kiddietray_mean,US_Is_Voucher_sum,US_Is_Voucher_mean,US_Is_MenuFood_sum,US_Is_MenuFood_mean,US_Is_Coffee_sum,US_Is_Coffee_mean
1260480,95,2019-01-03,2019-09-26,0,38,13,18.76842105,20,26,18.76842105,26,20,3,9185,3,Brossard,4,1,2,1,1,8,3,1,4,1,87,29832,114.0210526,195,0.842105263,1,French,13,Drama,5.69,18.82431579,37.03,1788.31,2.086842105,0,0,0,0,0,0,0,0,0,5,0.052631579,1,0,0,0,0,0,0,3,0.031578947,1,0,0,0,346,13,0,<Unknown>,0,0,0,0,0,0,5,0.014450867,0,0,0,0,3,0.00867052,0,0
2174044,69,2019-01-12,2019-12-31,1,52,10,22.63768116,20,39,22.63768116,39,20,7,1409,6,Richmond,5,1,4,1,3,8,4,1,4,1,62,0,106.7246377,182,0.028985507,1,English,8,Comedy,0,17.55347826,43.81,1211.19,1.948550725,0,0,0,0,0,0,0,0,0,34,0.492753623,1,0,0,0,0,0,0,5,0.072463768,1,19,0.275362319,1,157,25,0,<Unknown>,0,0,0,0,0,0,36,0.229299363,0,0,0,0,7,0.044585987,19,0.121019108
836340,66,2019-01-01,2019-12-30,0,52,28,32.74242424,33,37,32.74242424,37,33,8,7404,2,Toronto,4,0,3,0,2,8,4,0,3,0,23,0,40.92424242,143,0.242424242,1,<None>,5,Unknown,0,6.584545455,24.76,434.58,0.733030303,11,0.166666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.015151515,1,49,0.742424242,1,96,15,94158,VHO COFFEE - DRIP PREM 16OZ,12,0.125,0,0,0,0,0,0,0,0,0,0,1,0.010416667,49,0.510416667
3436750,63,2019-01-06,2019-12-30,1,52,13,17.6031746,14,26,17.6031746,26,14,3,1147,1,Vancouver,3,1,2,1,1,8,3,1,3,1,56,28205,119.1111111,235,0,0,English,6,Comedy,0,9.396507937,35.02,591.98,1.044761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,3,0,<Unknown>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6782143,57,2019-01-06,2019-12-29,1,52,18,31.24561404,32,38,31.24561404,38,32,6,3401,3,Calgary,4,1,4,1,4,8,3,1,3,1,33,0,91.05263158,182,0.315789474,1,English,8,Unknown,0,17.80631579,77.79,1014.96,1.983333333,24,0.421052632,1,1,0.01754386,1,1,0.01754386,1,18,0.315789474,1,0,0,0,10,0.175438596,1,8,0.140350877,1,0,0,0,305,31,0,<Unknown>,28,0.091803279,1,0.003278689,1,0.003278689,19,0.062295082,0,0,10,0.032786885,11,0.036065574,0,0
3321088,53,2019-01-13,2019-12-26,2,51,14,22.05660377,18,35,22.05660377,35,18,2,3144,1,Edmonton,4,1,4,1,3,8,4,1,3,1,52,30341,114.7358491,182,0.037735849,1,English,8,Thriller,0,19.68981132,53.35,1043.56,2.192641509,2,0.037735849,1,1,0.018867925,1,0,0,0,5,0.094339623,1,0,0,0,2,0.037735849,1,43,0.811320755,1,0,0,0,224,35,0,<Unknown>,2,0.008928571,1,0.004464286,0,0,7,0.03125,0,0,2,0.008928571,70,0.3125,0,0
2610596,52,2019-01-03,2019-12-31,0,52,10,14.15384615,14,20,14.15384615,20,14,2,9401,1,MontrÂal,2,1,3,1,1,8,2,1,1,1,52,28887,114.2307692,182,0,0,French,8,Drama,0,6.000769231,11.55,312.04,0.668461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,2,0,<Unknown>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2294623,51,2019-01-07,2019-12-29,1,52,12,19.21568627,17,31,19.21568627,31,17,4,3142,1,Calgary,3,1,4,1,3,8,3,1,2,1,39,22997,126.1960784,182,0.039215686,1,English,7,Action,0,14.54,33.68,741.54,1.617647059,5,0.098039216,1,25,0.490196078,1,0,0,0,5,0.098039216,1,0,0,0,1,0.019607843,1,6,0.117647059,1,0,0,0,208,23,0,<Unknown>,5,0.024038462,48,0.230769231,0,0,5,0.024038462,0,0,1,0.004807692,9,0.043269231,0,0
4898760,49,2019-01-03,2019-12-31,0,52,13,20.10204082,20,28,20.10204082,28,20,1,3140,1,Medicine Hat,1,1,2,1,1,8,2,1,1,1,49,20810,114.1632653,182,0,0,English,10,Comedy,0,8.076734694,35.13,395.76,0.9,1,0.020408163,1,1,0.020408163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,5,0,<Unknown>,1,0.016666667,2,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0
217917,48,2019-01-05,2019-12-28,0,51,13,17.20833333,15,28,17.20833333,28,15,1,7274,1,Orillia,3,1,4,1,1,8,4,1,5,1,43,0,119.75,318,0,0,English,7,Action,2.19,28.475,47.84,1366.8,3.1625,0,0,0,1,0.020833333,1,0,0,0,42,0.875,1,0,0,0,0,0,0,4,0.083333333,1,1,0.020833333,1,179,22,0,<Unknown>,0,0,1,0.005586592,0,0,42,0.234636872,0,0,0,0,4,0.022346369,1,0.005586592
