CINEPLEX_Item_ID,CINEPLEX_Item_Description,CINEPLEX_Item_Status,EIS_Group_Description,EIS_Sub_Group_Description,Item_Report_Code2,Item_Report_Code3,Item_Class_Description1,Item_Class_Description2,Item_Class_Description3,Is_Item_Package,Is_Box_Office_Item,US_Is_Butter,US_Is_Kiddietray,US_Is_Voucher,US_Is_LrgPopcorn,US_Is_Coffee,US_Is_Candy,US_Is_Alcohol,US_Is_MenuFood
-112,4DX SEAT FEE,0,0,0,0,0,Box Office Surcharges and Fees,0,4DX FEE,0,1,0,0,0,0,0,0,0,0
-110,VHO AVX - Reserve Seating Fee,0,0,0,0,0,Surcharges and Fees,0,SEATFEEAVX,0,1,0,0,0,0,0,0,0,0
-109,VHO CS - Reserve Seating Fee,0,0,0,0,0,GUEST SERVICES,0,SEATFEECS,0,1,0,0,0,0,0,0,0,0
-105,VHO VIP - Reserve Seating Fee,0,0,0,0,0,GUEST SERVICES,0,SEATFEEVIP,0,1,0,0,0,0,0,0,0,0
-104,VHO VIP Surcharge (Hump Date),0,0,0,0,0,Box Office Surcharges and Fees,0,VIPSCHD,0,1,0,0,0,0,0,0,0,0
-103,VHO VIP - Reserve Seating Fee (Hump Date),0,0,0,0,0,Box Office Surcharges and Fees,0,VIPSEATHD,0,1,0,0,0,0,0,0,0,0
-102,VHO VIP Surcharge,0,0,0,0,0,Box Office Surcharges and Fees,0,SURGVIP,0,1,0,0,0,0,0,0,0,0
-101,VHO IMAX - Reserve Seating Fee,0,0,0,0,0,GUEST SERVICES,0,SEATFEEIMAX,0,1,0,0,0,0,0,0,0,0
-1,<Unrecognized Item>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,<Unknown>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15319,<Unknown>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15320,<Unknown>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28027,Calamari,A,0,0,0,0,TRR - MENU FOOD - APP,0,0,0,0,0,0,0,0,0,0,0,1
28049,Chicken Wings 12 PC,A,0,0,0,0,TRR - MENU FOOD - APP,0,0,0,0,0,0,0,0,0,0,0,1
28300,Margherita,A,0,0,0,0,TRR - MENU FOOD - PIZZA,0,0,0,0,0,0,0,0,0,0,0,1
28609,THREE10 BURGER,A,0,0,0,0,TRR - MENU FOOD - SANDWICHES,0,0,0,0,0,0,0,0,0,0,0,1
28912,VIK Sundae,A,0,0,0,0,TRR - MENU FOOD - KIDS,0,0,0,0,0,0,0,0,0,0,0,1
29212,TAG $10 - 40 CR,A,0,0,0,0,TRR - AMUSEMENT - GAMES,0,0,0,0,0,0,0,0,0,0,0,0
29215,TAG $15 - 80 CR,A,0,0,0,0,TRR - AMUSEMENT - GAMES,0,0,0,0,0,0,0,0,0,0,0,0
29216,BP TAG+$15 - 90 CR,A,0,0,0,0,TRR - AMUSEMENT - GAMES,0,0,0,0,0,0,0,0,0,0,0,0
