TimeSlice_ID,TimeSlice_Description,TimeSlice_Start_Time,TimeSlice_End_Time,TimeSlice_Hour_12,TimeSlice_Hour_24,TimeSlice_Desc_Encod
0,9 - No Data,59:59.0,59:59.0,11:00 PM,23,0
1,1 - Early Matinee,00:00.0,30:00.0,6:00 AM,6,1
2,1 - Early Matinee,30:00.0,00:00.0,6:00 AM,6,1
3,1 - Early Matinee,00:00.0,30:00.0,7:00 AM,7,1
4,1 - Early Matinee,30:00.0,00:00.0,7:00 AM,7,1
5,1 - Early Matinee,00:00.0,30:00.0,8:00 AM,8,1
6,1 - Early Matinee,30:00.0,00:00.0,8:00 AM,8,1
7,1 - Early Matinee,00:00.0,30:00.0,9:00 AM,9,1
8,1 - Early Matinee,30:00.0,00:00.0,9:00 AM,9,1
9,1 - Early Matinee,00:00.0,30:00.0,10:00 AM,10,1
10,1 - Early Matinee,30:00.0,00:00.0,10:00 AM,10,1
11,1 - Early Matinee,00:00.0,30:00.0,11:00 AM,11,1
12,1 - Early Matinee,30:00.0,00:00.0,11:00 AM,11,1
13,1 - Early Matinee,00:00.0,30:00.0,12:00 PM,12,1
14,1 - Early Matinee,30:00.0,00:00.0,12:00 PM,12,1
15,1 - Early Matinee,00:00.0,30:00.0,1:00 PM,13,1
16,1 - Early Matinee,30:00.0,00:00.0,1:00 PM,13,1
17,1 - Early Matinee,00:00.0,30:00.0,2:00 PM,14,1
18,2 - Late Matinee,30:00.0,00:00.0,2:00 PM,14,2
19,2 - Late Matinee,00:00.0,30:00.0,3:00 PM,15,2
20,2 - Late Matinee,30:00.0,00:00.0,3:00 PM,15,2
21,2 - Late Matinee,00:00.0,30:00.0,4:00 PM,16,2
22,2 - Late Matinee,30:00.0,00:00.0,4:00 PM,16,2
23,2 - Late Matinee,00:00.0,30:00.0,5:00 PM,17,2
24,2 - Late Matinee,30:00.0,00:00.0,5:00 PM,17,2
25,3 - Early Evening,00:00.0,30:00.0,6:00 PM,18,3
26,3 - Early Evening,30:00.0,00:00.0,6:00 PM,18,3
27,3 - Early Evening,00:00.0,30:00.0,7:00 PM,19,3
28,3 - Early Evening,30:00.0,00:00.0,7:00 PM,19,3
29,3 - Early Evening,00:00.0,30:00.0,8:00 PM,20,3
30,3 - Early Evening,30:00.0,00:00.0,8:00 PM,20,3
31,4 - Late Evening,00:00.0,30:00.0,9:00 PM,21,4
32,4 - Late Evening,30:00.0,00:00.0,9:00 PM,21,4
33,4 - Late Evening,00:00.0,30:00.0,10:00 PM,22,4
34,4 - Late Evening,30:00.0,00:00.0,10:00 PM,22,4
35,4 - Late Evening,00:00.0,30:00.0,11:00 PM,23,4
36,5 - Over Midnight,30:00.0,00:00.0,11:00 PM,23,5
37,5 - Over Midnight,00:00.0,30:00.0,12:00 AM,0,5
38,5 - Over Midnight,30:00.0,00:00.0,12:00 AM,0,5
39,5 - Over Midnight,00:00.0,30:00.0,1:00 AM,1,5
40,5 - Over Midnight,30:00.0,00:00.0,1:00 AM,1,5
41,5 - Over Midnight,00:00.0,30:00.0,2:00 AM,2,5
42,5 - Over Midnight,30:00.0,00:00.0,2:00 AM,2,5
43,5 - Over Midnight,00:00.0,30:00.0,3:00 AM,3,5
44,5 - Over Midnight,30:00.0,00:00.0,3:00 AM,3,5
45,5 - Over Midnight,00:00.0,30:00.0,4:00 AM,4,5
46,5 - Over Midnight,30:00.0,00:00.0,4:00 AM,4,5
47,5 - Over Midnight,00:00.0,30:00.0,5:00 AM,5,5
48,5 - Over Midnight,30:00.0,00:00.0,5:00 AM,5,5
