Visit_ID,CINEPLEX_D_Membership_ID,Visit_Date,Visit_TimeSlice_ID,Location_ID,Auditorium_Experience_ID,Film_ID,Seating_Experience_ID,Sales_Channel_ID,Performance_Experience_ID,Performance_Type_ID,Spend,Revenue,Points_Earned,Points_Redeemed,Discount,Has_US_Is_LrgPopcorn,Has_US_Is_Butter,Has_US_Is_Alcohol,Has_US_Is_Candy,Has_US_Is_Coffee,Has_US_Is_Kiddietray,Has_US_Is_Voucher,Has_US_Is_MenuFood
2,23777,2019-01-01,15,7253,1,28757,1,8,1,1,15.04,15.04,100,0,1.68,0,0,0,0,0,0,0,0
3,60723,2019-01-01,15,7123,0,0,0,8,0,0,29.61,29.61,297,0,3.29,0,1,0,0,0,0,1,1
4,61080,2019-01-01,15,7290,2,24899,2,8,2,1,28.4,28.4,235,0,3.16,1,1,0,0,0,0,0,0
5,103538,2019-01-01,14,1142,1,24977,1,2,1,1,0,10,0,1000,0,0,0,0,0,0,0,0,0
6,120196,2019-01-01,23,9181,1,29694,1,2,1,1,17.61,17.61,100,0,1.95,0,0,0,0,0,0,0,0
8,189028,2019-01-01,21,7285,1,24977,1,8,1,1,14.07,14.07,175,0,1.56,0,0,0,1,0,1,0,0
9,194205,2019-01-01,23,7130,3,30221,2,8,3,1,39.33,39.33,1400,0,4.37,0,0,0,1,0,0,0,0
10,195049,2019-01-01,21,9109,2,24977,2,2,1,1,27.42,27.42,150,0,3.06,0,0,0,0,0,0,0,0
11,350672,2019-01-01,15,3132,1,24758,2,6,2,1,22.28,22.28,150,0,2.48,0,0,0,0,0,0,0,0
14,391776,2019-01-01,17,9185,1,29694,1,8,1,1,24.16,44.16,242,2000,2.68,0,0,0,1,0,0,0,1
20,699765,2019-01-01,27,9203,1,29694,1,8,1,1,8.66,24.314,187,0,0.96,0,0,0,0,0,0,1,0
21,713033,2019-01-01,35,3141,1,29976,1,8,1,1,55.7,55.7,372,0,6.17,0,0,0,0,0,0,0,1
22,763229,2019-01-01,16,1409,2,24758,1,2,2,1,11.9,11.9,150,0,1.32,0,0,0,0,0,0,0,0
23,763873,2019-01-01,34,7411,1,23805,1,12,2,1,53.49,53.49,397,0,5.95,1,1,0,1,0,0,0,0
25,836340,2019-01-01,34,7404,2,24977,1,8,2,1,0,18,0,2500,0,0,0,0,0,0,0,0,0
26,868902,2019-01-01,27,9181,1,28490,1,8,1,1,19.23,19.23,175,0,2.13,1,0,0,0,0,0,0,0
28,913635,2019-01-01,15,9109,1,29122,1,8,1,1,5.87,5.87,100,0,0.65,0,0,0,0,0,0,0,0
29,929698,2019-01-01,27,7265,1,24758,1,8,2,1,7.96,7.96,150,0,0.88,0,0,0,0,0,0,0,0
30,967137,2019-01-01,20,7260,0,0,0,8,0,0,65.69,65.69,654,0,7.32,0,0,0,1,0,0,0,1
33,985097,2019-01-01,34,3151,1,24758,1,8,2,1,0,16,0,3000,0,0,0,0,0,0,0,0,0
35,1025839,2019-01-01,22,7268,1,24758,1,8,1,1,57.42,57.42,542,0,6.39,0,0,0,1,0,0,0,1
36,1045097,2019-01-01,18,2401,0,0,0,8,0,0,48.47,48.47,486,0,5.39,1,1,0,1,0,0,0,0
37,1087242,2019-01-01,22,7422,0,0,0,8,0,0,4.69,4.69,47,0,0.52,0,0,0,0,0,0,0,0
38,1093954,2019-01-01,20,3401,1,23805,1,8,2,1,16.27,16.27,210,0,1.81,0,0,0,0,0,0,0,1
39,1094424,2019-01-01,38,1148,0,0,0,8,0,0,13.97,13.97,140,0,1.54,0,0,0,1,0,0,0,0
40,1110603,2019-01-01,13,7428,3,30076,2,8,3,1,64,64,442,0,7.11,0,0,0,1,0,0,0,0
41,1124849,2019-01-01,21,7298,1,29122,1,8,1,1,14.32,14.32,100,0,1.6,0,0,0,0,0,0,0,0
42,1141672,2019-01-01,21,7257,1,24977,1,8,1,1,31.37,31.37,175,0,3.47,1,0,0,0,0,0,0,0
43,1194582,2019-01-01,19,7298,1,28757,1,8,1,1,21.81,21.81,175,0,2.43,0,0,0,1,0,1,0,0
44,1207872,2019-01-01,13,7123,3,30076,2,8,3,1,59.47,59.47,357,0,6.61,0,0,0,0,0,0,0,0
45,1237454,2019-01-01,22,1147,1,22374,1,8,1,1,0,40,0,4000,0,0,0,0,0,0,0,0,0
46,1246565,2019-01-01,37,3149,0,0,0,8,0,0,14.98,14.98,150,0,1.66,1,0,0,0,0,0,0,0
